StateAbbv,StateName,P1_StatePlan,P2_Standards,P3_Funding,P4_Certification,P5_PreserviceIncentives,P6_StateCSposition,P7_RequireHStoOffer,P8_CountGradReq,P9_HigherEdAdmission,PctReportedFCS,YearOfLast,NumOfHS,NumHSWithCS,PctHSwFCS,TotalStudents,NumStudentsinHSwCS,PctStudentsHSwCS,Total_Black,Total_HLLL,Total_Native,Total_HPI,Total_White,Total_Asian,Total_TwoPlus,InCSHS_Black,InCSHS_HLLL,InCSHS_Native,InCSHS_HPI,InCSHS_White,InCSHS_Asian,InCSHS_TwoPlus,InFCS_Male,InFCS_Female,InFCS_Other,InFCS_Black,InFCS_HLLL,InFCS_Native,InFCS_HPI,InFCS_White,InFCS_Asian,InFCS_TwoPlus,InFCS_Total,AP_Male,AP_Female,AP_Gender,AP_Black,AP_HLLL,AP_Native,AP_HPI,AP_Asian,AP_White,AP_TwoPlus,AP_Total,,
NC,North Carolina,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,0.59,21,697,414,0.593974175,519747,406844,0.782772344,125473,87497,5904,614,257644,16452,26163,94230,67478,2578,442,207197,14608,20310,,,,,,,,,,,,3655,1697,15,501,513,24,3,1136,2908,283,5367,,
ND,North Dakota,No,Yes,No,Yes,No,No,No,Yes,No,0.43,21,169,72,0.426035503,36944,26359,0.713496137,1559,1798,4406,78,27662,573,868,1410,1349,1540,61,20747,531,722,1188,248,,,,,,,,,1436,86,25,1,3,3,1,0,2,95,7,112,,
NE,Nebraska,In progress,No,No,No,No,No,No,District Decision,No,0.46,20,269,124,0.460966543,105506,81444,0.771937703,6453,19634,1378,158,71675,2697,3511,6154,16231,657,128,52609,2543,3121,2112,585,,124,336,13,1,1952,176,95,2697,293,104,0,16,16,1,1,53,286,25,397,,
NH,New Hampshire,Yes,Yes,No,Yes,Yes,Yes,Yes,District Decision,No,0.78,21,100,78,0.78,55167,52063,0.943727114,1238,3025,147,51,47219,1880,1607,1197,2927,138,50,44391,1832,1528,,,,,,,,,,,,370,136,0,2,28,2,0,109,343,21,506,,
NJ,New Jersey,Yes,Yes,Yes,Yes,No,In Progress,Yes,Yes,No,0.68,20,516,351,0.680232558,449520,393822,0.876094616,72019,130973,543,928,193782,44045,7230,55671,105512,453,822,183298,41490,6576,22587,8966,,3329,5357,46,95,13801,8335,590,31553,6433,2805,7,346,1126,42,5,3473,3890,364,9245,,
NM,New Mexico,Yes,Yes,Yes,In progress,No,Yes,No,Yes,No,0.44,21,241,105,0.435684647,110610,69989,0.632757319,2032,66114,14009,139,24911,1393,2012,1470,41923,6878,92,17089,1051,1486,1760,700,,31,1334,255,0,666,76,75,2460,278,93,1,7,101,9,0,65,182,9,372,,
NV,Nevada,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.83,21,151,125,0.82781457,161249,153941,0.954681243,17531,67417,1418,2482,52161,10407,9833,16625,64444,1310,2378,49835,9911,9440,5185,2466,,544,3221,64,87,2342,901,493,7651,1265,731,5,84,592,16,15,420,696,178,2001,,
NY,New York,No,Yes,Yes,Yes,Yes,No,No,District Decision,No,0.5,20,1428,714,0.5,952239,630133,0.661738209,174021,249636,7033,2513,414490,84486,20060,98548,157670,4114,1666,288236,66558,13340,26975,14051,,7077,9258,242,165,14863,8610,811,41026,9080,4974,18,1448,2714,66,25,4177,5122,521,14072,,
OH,Ohio,In progress,Yes,No - Historic Yes,Yes,Yes,Yes,No,Yes,Yes,0.5,20,971,489,0.503604531,565557,366637,0.648276615,98658,33392,796,495,390049,13838,28329,51322,21231,485,333,264024,11223,18020,,,,,,,,,,,,2625,915,8,244,175,20,1,545,2382,181,3548,,
OK,Oklahoma,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,0.53,21,494,263,0.532388664,197146,151921,0.770601249,16789,33336,27690,688,98011,4132,16500,13747,27062,19001,577,75125,3768,12641,9034,5100,,934,2184,2048,52,7053,431,1250,14134,331,152,1,16,54,15,0,75,267,58,484,,
