StateAbbv,SchoolsTotal,SchoolsWithFCS,PctHSwFCS,TotalStudents,NumStudentsinHSwCS,PctStudentsHSwCS,Pct_FCS_City,Pct_FCS_Suburban,Pct_FCS_TownRural,Pct_FCS_FRLlt24,Pct_FCS_FRL25to49,Pct_FCS_FRL50to74,Pct_FCS_FRLgt75,Schools_FCS_City,Schools_FCS_Suburban,School_FCS_TownRural,Schools_FCS_FRLlt24,Schools_FCS_FRL25to49,Schools_FCS_FRL50to74,Schools_FCS_FRLgt75,Schools_FCS_FRL_Unknown,Est_Schools_City,Est_Schools_Suburban,Est_School_TownRural,Est_Schools_FRLlt24,Est_Schools_FRL25to49,Est_Schools_FRL50to74,Est_Schools_FRLgt75,Est_Schools_FRL_Unknown,Pct_FCS_CitySuburban,Pct_FCS_TownRural2,Pct_FCS_FrlLT50,Pct_FCS_FrlGT50,AvgSizeHave,AvgSizeNot,RS_RuralUrban_FCS_School,RS_RuralUrban_FCS_School_Zscore,RS_FRLInc_FCS_School,RS_FRLInc_FCS_School_Zscore,HaveNotCSHaveCS_Size_Ratio,HaveNotCSHaveCS_Size_Ratio_Zscore
FL,1255,500,0.398406375,988729,695364,0.70329079,0.39031339,0.339181287,0.449168207,0.32,0.56,0.49,0.3,137,116,243,85,193,153,61,8,351,342,541,265.625,344.6428571,312.244898,203.3333333,8,0.365079365,0.449168207,0.455537674,0.415067951,1390.728,388.5629139,1.230330306,-0.138834604,0.911160536,0.882833204,0.279395334,-0.669587637
GA,513,338,0.658869396,556485,455072,0.817761485,0.633333333,0.593625498,0.770588235,0.75,0.84,0.67,0.51,57,149,131,50,97,92,99,0,90,251,170,66.66666667,115.4761905,137.3134328,194.1176471,0,0.604105572,0.770588235,0.807058824,0.576288742,1346.366864,579.5028571,1.27558538,-0.023270952,0.714060394,-0.46868524,0.430419726,-0.320434932
HI,65,50,0.769230769,60893,51658,0.848340532,0.727272727,0.722222222,0.888888889,0.83,0.91,0.58,0.83,8,26,16,10,21,14,5,0,11,36,18,12.04819277,23.07692308,24.13793103,6.024096386,0,0.723404255,0.888888889,0.882559367,0.629931129,1033.16,615.6666667,1.22875817,-0.142849221,0.713754964,-0.470779576,0.59590641,0.062153087
IA,355,252,0.709859155,167016,119470,0.715320688,0.615384615,0.722972973,0.764705882,0.77,0.73,0.66,0.33,24,214,13,51,154,43,4,0,39,296,17,66.23376623,210.9589041,65.15151515,12.12121212,0,0.710447761,0.764705882,0.739557795,0.608235294,474.0873016,461.6116505,1.076371725,-0.531984244,0.822431051,0.274413875,0.973684908,0.935537723
ID,269,101,0.375464684,127590,68501,0.536883768,0.564102564,0.348066298,0.355555556,0.42,0.43,0.24,0.22,22,63,16,38,51,10,2,0,39,181,45,90.47619048,118.6046512,41.66666667,9.090909091,0,0.386363636,0.355555556,0.425672669,0.23641791,678.2277228,351.7202381,0.920261438,-0.930628494,0.555398379,-1.556632913,0.518587233,-0.116600817
IL,999,435,0.435435435,620340,495575,0.798876423,0.513207547,0.343387471,0.580769231,0.63,0.5,0.37,0.39,136,148,151,107,160,70,98,0,265,431,260,169.8412698,320,189.1891892,251.2820513,0,0.408045977,0.580769231,0.54507453,0.381409692,1139.252874,221.214539,1.423293608,0.353917746,0.699738606,-0.566889946,0.194175099,-0.866607967
IN,406,347,0.854679803,365052,298828,0.818590228,0.764705882,0.894514768,0.910447761,0.94,0.9,0.82,0.5,65,212,61,48,190,94,14,1,85,237,67,51.06382979,211.1111111,114.6341463,28,1,0.860248447,0.910447761,0.907790803,0.757181943,861.1757925,1122.440678,1.058354437,-0.577993308,0.834092988,0.354379941,1.303381595,1.69776221
KS,364,144,0.395604396,161625,90606,0.560593968,0.56097561,0.363036304,0.55,0.55,0.37,0.36,0.33,23,110,11,33,68,34,9,0,41,303,20,60,183.7837838,94.44444444,27.27272727,0,0.386627907,0.55,0.414301552,0.353278008,629.2083333,322.8136364,1.422556391,0.352035184,0.852707422,0.482019377,0.5130473,-0.129408568
KY,489,309,0.63190184,214321,174334,0.813424723,0.6125,0.625,0.709677419,0.47,0.71,0.73,0.46,49,210,44,17,84,150,26,32,80,336,62,36.17021277,118.3098592,205.4794521,56.52173913,32,0.622596154,0.709677419,0.653806014,0.671752671,564.1877023,222.15,1.139867979,-0.369839795,1.027449514,1.680228364,0.393751936,-0.405207054
LA,392,127,0.323979592,250942,110222,0.43923297,0.41,0.269565217,0.421052632,0.44,0.4,0.32,0.16,41,62,24,8,52,54,10,3,100,230,57,18.18181818,130,168.75,62.5,3,0.312121212,0.421052632,0.404907975,0.276756757,867.8897638,531.0188679,1.349003577,0.164210237,0.683505324,-0.67820179,0.611850594,0.099014385
MA,389,302,0.776349614,327732,293386,0.895200957,0.714285714,0.8125,0.792682927,0.78,0,0,0,55,52,195,302,0,0,0,0,77,64,246,387.1794872,0,0,0,0,0.758865248,0.792682927,0.78,,971.4768212,394.7816092,1.044563483,-0.613209979,,,0.406372649,-0.376029277
MD,226,221,0.977876106,276026,260194,0.942643084,1,0.981818182,0.962962963,1,0.99,0.95,0.9,62,54,104,66,84,62,9,0,62,55,108,66,84.84848485,65.26315789,10,0,0.991452991,0.962962963,0.994375251,0.943356643,1177.348416,3166.4,0.971264368,-0.800387079,0.948692802,1.140192481,2.689433269,4.902169673
ME,126,76,0.603174603,54104,39053,0.721813544,0.888888889,0.55,0.8125,0.78,0.58,0.53,0,8,55,13,18,42,16,0,0,9,100,16,23.07692308,72.4137931,30.18867925,0,0,0.577981651,0.8125,0.628333333,0.53,513.8552632,301.02,1.405753968,0.309128407,0.843501326,0.418893052,0.58580698,0.038804254
MI,1314,605,0.46042618,549563,393133,0.715355655,0.410041841,0.482758621,0.462790698,0.66,0.64,0.42,0.25,98,308,199,98,208,193,77,29,239,638,430,148.4848485,325,459.5238095,308,29,0.462941847,0.462790698,0.646272,0.351780618,649.8066116,220.6346968,0.999673502,-0.727841328,0.544322852,-1.632577957,0.339539015,-0.530541695
MN,1100,228,0.207272727,314767,214306,0.680840113,0.122641509,0.25,0.177606178,0.25,0.31,0.18,0.09,26,155,46,77,101,37,9,4,212,620,259,308,325.8064516,205.5555556,100,4,0.217548077,0.177606178,0.280842834,0.150545455,939.9385965,115.2075688,0.816399667,-1.195850591,0.536048766,-1.689313478,0.12256925,-1.032153249
MO,634,310,0.488958991,284189,206895,0.72801903,0.525,0.447761194,0.69047619,0.69,0.54,0.49,0.38,42,210,58,52,115,84,35,24,80,469,84,75.36231884,212.962963,171.4285714,92.10526316,24,0.459016393,0.69047619,0.579206925,0.451554922,667.4032258,238.5617284,1.504251701,0.560652861,0.779608982,-0.019217651,0.357447671,-0.489138744
